0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
76168,51022,48134,57232,45614,47838,57702,57648,53614,64870,80472,58270,52282,52708,62302,57536,57726,70390,64822,45262,49040,63232,43456,58640,48670,59268,53064,66214,61264,64966,57192,78330,51174,64052,56878,57536,43054,61280,59028,55008,45582,72020,63400,43902,56878,60498,69444,59696,62174,61640
45018,51050,45678,58174,57726,43902,61280,64390,48654,57536,49040,59552,50148,45598,57702,57056,51174,54198,55008,46462,45310,45582,53614,45582,43054,46110,54648,45518,45358,49726,52464,43902,42552,52168,43456,42990,45926,46446,48670,45598,47222,59028,46496,56878,43054,46462,53064,53614,52692,46462
46110,45018,43054,45582,46462,43456,45598,43054,45358,48966,45582,48654,48598,43054,49040,45590,50148,48134,46000,47206,43038,48670,45582,53064,45582,43054,45598,42990,46496,45582,45018,43886,43054,46446,45582,46094,42990,45598,49040,43902,59720,42990,46446,49534,43054,45358,45310,45598,50148,46462
42990,43902,45018,43054,43886,43054,42990,43054,42462,43150,43038,43054,43006,43054,48134,45582,43472,45262,43054,45310,45598,52246,45598,45598,43054,45582,42990,45018,43006,43054,45582,43054,43054,49518,44958,43006,42990,45002,45582,45310,43054,46446,43366,46000,46094,45590,43886,43038,46462,43886
42990,43054,43054,42462,42990,42990,45534,42990,46446,42462,43472,43870,43006,42990,45246,43006,43054,43038,42990,43006,42462,42990,42990,43054,43054,43038,43054,43054,43054,43006,43006,43038,43038,43054,45598,45582,42990,43054,42462,43086,43038,42990,43054,43054,42446,42990,43054,42990,42462,43006
42990,42990,42462,42462,42990,43054,42990,42462,42462,42990,42462,43054,43006,43054,42462,42462,42990,42462,42990,42990,42462,42990,42446,42990,43054,42446,42990,42974,43038,42990,42990,42990,42446,42990,50148,42990,42990,42462,42990,42990,42446,42990,42990,43054,42990,43006,43006,43054,43472,42990
43038,42462,42462,42990,42990,42990,54968,45198,42462,42462,42446,42462,42446,42462,42990,42462,42446,42462,42990,42462,42446,42446,42990,42462,42990,42502,42990,42446,42990,42462,42990,42990,42990,42462,42446,42990,42462,42990,42990,42990,42446,42462,42462,42446,42462,42462,42446,42990,42462,42990
42462,42446,42446,42446,42462,42462,42462,42446,42462,42462,42446,42990,42446,42446,42990,42446,42462,42462,42446,42446,42446,42462,42462,42446,42990,42446,42446,42446,42462,42462,42446,42462,42446,42990,42462,42446,42462,42990,42446,42462,42446,42462,42462,42446,42462,42446,42462,42462,42462,42462
42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42462,42446,42446,42446,42462,42462,42446,42446,42446,42446,42462,42446,42446,42446,42462,42446,42446,42462,42446,42446,42446,42446,42462,42446,42446,42446,42446,42446,42446,42446,42446,42462,42462,42446,42446,42462,42446,42446,42446
42446,42446,42486,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,43038,42446,42446,42446,42446,42446
