0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
6328,7586,6452,6096,7942,6296,21634,10704,7786,7630,6264,10660,21406,21438,21666,7862,21558,10628,7694,7722,21386,6264,10688,21586,6468,21450,21450,7878,6220,10748,21470,21558,6436,7570,7738,7666,21554,21510,21682,10624,21326,7754,6436,6096,6248,21374,10732,10640,10676,6220
7570,6220,6328,6452,6096,6296,6220,7722,6484,6248,7634,6264,10608,6204,6388,10580,7630,6436,6096,7586,10748,6468,6264,7618,6220,6264,6484,6172,7634,7754,7570,6220,21386,10700,7862,6156,7678,7738,6484,10580,7634,6264,7630,6452,6248,6264,10704,6096,6388,6248
6248,6248,6248,6156,6452,6264,6220,6264,6096,6248,6404,6388,6096,6172,6404,6096,6468,6172,6420,6296,6248,6264,6344,6096,6140,6296,6468,6096,7618,6112,6264,7570,6248,7630,6096,6160,6220,6096,6156,6160,6220,6096,6096,6160,6404,6296,6296,6420,7586,6468
6156,6112,6096,6096,6264,6264,6220,6156,6096,6096,6096,6156,6096,6096,6096,6248,6096,6096,6096,6248,6096,6156,6096,6096,6344,6172,6096,6096,6248,6096,6172,6144,6156,6160,6096,6112,6096,6096,6156,6096,6140,6172,6264,6096,6096,6404,6248,6096,6112,6096
6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6172,6080,6096,6096,6096,6096,6156,6096,6096,6096,6096,6140,6096,6096,6096,6096,6096,6096,6156,6096,6096,6096,6096,6096,6096,6080,6156,6096,6112,6096,6096,6096,6096,6096,6156,6096,6096,6096
6096,6096,6096,6096,6080,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6080,6096,6096,6096,6096,6096,6080,6080,6080,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096
6140,6096,6080,6080,6096,6096,6096,6096,6080,6096,6080,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6096,6080,6096,6080,6096,6096,6096,6096,6096,6096,6096,6096,6080,6096,6080,6096,6096,6096,6096,6080,6096,6096,6156,6096,6096,6080,6096,6096,6080
6080,6096,6080,6080,6096,6080,6080,6096,6096,6096,6096,6080,6096,6080,6096,6080,6096,6080,6080,6080,6080,6096,6080,6096,6080,6096,6080,6096,6080,6096,6080,6096,6096,6080,6096,6096,6096,6096,6096,6096,6096,6080,6080,6096,6096,6080,6080,6096,6080,6096
6080,6080,6080,6096,6096,6080,6080,6080,6080,6080,6080,6080,6096,6080,6096,6096,6080,6096,6080,6096,6080,6080,6080,6080,6080,6080,6080,6096,6096,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6096,6096,6080,6080,6080,6096,6080,6096,6080,6080,6080
6080,6080,6096,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6096,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080,6080
