0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
44670,59172,57446,62254,73156,52094,164866,151700,70932,151156,206493,151408,151096,209221,165378,209733,66472,57216,151580,151742,54968,57446,224393,57792,69034,76328,151326,243073,44974,229573,63062,212133,207661,65444,216293,65332,164870,51726,209969,165080,213539,68008,233157,63232,76842,65494,44998,61742,165690,151384
52128,63232,57216,47182,65918,79434,65926,70880,61724,64782,57192,65444,164816,59040,68008,51998,48688,151500,44738,62660,65396,55872,48966,69034,55142,58254,47302,44998,62804,70406,51140,65494,66366,59040,58254,53640,65332,55872,51536,151284,45078,72088,62788,76842,199647,51456,165112,64416,66472,165398
42530,63232,52128,45078,51998,57696,42514,55872,48134,47870,44738,44714,51456,57446,51140,51174,64794,52112,65926,59860,44738,44828,44998,62660,55872,58972,51536,52128,53640,44738,52282,47206,55872,45002,48838,47302,48208,57686,45168,51998,54968,45926,45094,50196,45926,47286,51050,48688,47182,57192
44738,45078,45078,44714,51174,52096,44974,45246,42530,53640,45002,44844,44738,50196,45002,52246,45014,44974,46390,45002,44738,45078,45926,42620,44998,44738,42530,45168,42514,48966,45094,54166,52112,42514,45926,47206,51536,45094,45094,45078,43134,48966,45078,47206,47302,47286,47376,44828,47226,44738
44738,45168,42530,48966,45662,44738,45078,47182,42620,44738,42620,42530,44828,47286,42506,47286,48598,47206,44738,44828,42620,44738,42514,42592,47182,42620,42514,44738,44710,43382,42530,44828,42506,46390,44738,45002,44738,42530,45094,45310,42514,45014,42514,45168,44738,42514,42514,45094,45342,42530
42486,42530,42530,42514,42514,42514,43382,44710,42514,44738,42530,44738,42514,42514,42530,44738,42530,42530,42620,42514,42530,42608,42514,44738,44738,45094,42530,45168,42530,44738,42514,42530,44738,42530,42514,42514,44710,42514,44828,44714,42514,44738,42514,42506,42530,44738,46390,42530,42506,42620
42530,42530,42514,42514,44738,42514,44738,42514,42514,42506,42530,42514,42530,42514,42514,42530,42530,44828,42486,42514,42486,42514,42514,42514,42530,42514,42514,42514,42514,42530,42506,42530,42514,42530,42530,42514,42514,42446,42514,42530,42514,42530,42514,42620,42530,42514,42514,42620,42514,42490
42514,42490,42514,42514,42514,42514,42486,42514,42490,42514,42514,42530,42514,42514,42506,42490,42514,42514,42490,42514,42514,42514,42514,42486,42514,42514,42514,42514,42514,42486,42514,42514,42486,42462,42514,42530,42490,42514,42514,42530,42514,42514,42514,42514,42514,42514,42486,42462,42514,42530
42490,42486,42506,42514,42506,42486,42490,42530,42514,42514,42462,42490,42514,42490,42514,42506,42462,42514,42486,42514,42506,42486,42514,42514,42502,42490,42514,42486,49602,42446,42490,42490,42462,42514,42490,42514,42514,42490,42502,42514,42486,42502,42514,42486,42486,42490,42486,42514,42486,42462
42446,42514,42462,42446,42486,42486,42486,42486,42514,42490,42486,55020,42486,42486,42486,42486,42490,42490,42514,42446,42530,42490,42486,42486,42502,42502,42462,42486,42486,42486,42514,42462,42486,42462,42506,42486,42446,42486,42514,42486,42486,42490,42486,42462,42490,42462,42490,42486,42486,42462
42462,42486,42446,42486,42446,42486,42486,42446,42446,42490,42486,42502,42446,42486,42446,42462,42446,42486,42486,42486,42462,42446,42462,42446,42486,42486,42486,42486,42486,42462,42486,42446,42462,42486,42486,42462,42462,42462,42462,42486,42446,42486,42462,42446,42462,42446,42486,42486,42486,42486
42446,42486,42446,42462,42446,42446,42462,42446,42446,42446,42446,42446,42446,42446,42446,42462,42462,42462,42462,42462,42462,42462,42486,42446,42446,42446,42446,42446,42462,42446,42462,42446,43038,42446,42446,42446,42462,42462,42462,42446,42462,42446,42446,42462,42446,43366,42462,42462,42446,42462
42462,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42490,42446,42446,42446,42446,42462,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42462,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446
42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446
42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,49590,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446
42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446
42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,193169,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,42446,44958,42446,42446,42446,42446,42446,42446,42446,42446,42446,192927,42446,42446,42446,42446,42446,42446,42446,42446,42446
