0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
42036,29068,31312,39380,35150,29358,28590,37462,39228,26212,26450,25770,25088,27424,35352,28562,40964,27658,31202,26746,41030,27258,33296,26730,35408,28880,26084,27630,36236,41904,26276,42214,39510,28058,25626,30238,32030,27438,40346,44452,28988,27210,34136,39788,32208,28934,26786,28060,35560,37928
27638,26786,27560,29388,27586,25524,26786,27158,26610,27032,26202,30096,25186,26624,28224,27440,33600,36200,27260,27722,26944,26858,39380,35424,27760,27266,27646,26980,27400,26540,27780,25770,28866,25940,27552,26302,27246,28460,26128,26552,29838,26838,28584,30140,26784,26276,24822,26084,26984,27730
26702,26384,25792,26552,24642,26322,26690,26538,26530,25622,26140,26972,26796,27196,26250,26786,26302,25244,27952,25750,24788,25474,26528,26434,25770,26534,26722,24860,26610,26720,25778,25888,26464,26550,29272,26472,28202,26794,24804,26096,26302,26128,26264,24640,26658,28896,25856,27440,26886,25770
25900,25438,26170,24850,25778,26402,26160,26268,26316,24936,24788,26974,26302,24920,26626,25488,24788,25506,24860,24692,26896,26166,26730,25386,26144,26054,27248,26186,27564,26610,26990,26302,25708,24804,24956,24788,24302,26140,25052,26144,26020,24788,26318,24860,26560,24178,25718,24856,26352,25218
24850,24302,26158,24836,26170,24766,26224,25988,24182,25438,25350,26160,25262,25366,24396,28152,25586,24292,24620,24680,25038,24692,24894,24660,24496,24860,24850,27074,24956,24860,26774,24382,24692,25848,25488,24200,25438,25582,24000,25654,24854,24888,27524,24736,26020,25624,24178,24384,26928,25784
24484,24162,24756,23640,24734,24360,25618,24862,24120,24836,24292,25210,24526,24724,24784,24582,24356,25914,24126,24410,24164,25194,24200,24472,24650,24194,24428,24530,25250,24832,24448,24566,24624,24684,24182,25986,24810,24000,24744,24590,24736,25526,24178,24254,27894,24708,24462,24836,24446,24780
24874,24688,23872,24194,24002,24162,24430,24542,24254,24194,24760,25086,23806,24162,24574,23858,24600,24162,24128,24582,24312,24684,24178,24472,24222,24024,25428,24612,24814,24994,24162,24254,24086,24162,24976,23288,24564,24078,24126,24308,24264,24866,24356,24500,24292,24760,24484,24806,24472,23938
24082,24130,23208,24130,24194,24162,23872,24308,23668,24266,23464,23896,24044,23440,24002,23698,23806,24024,24238,24062,24494,24430,24098,24162,24414,24126,24242,24242,24196,24162,24162,24162,24194,23634,24172,24388,24242,23570,24172,24778,24254,24070,24264,24550,23486,24102,23806,23806,24002,23288
23896,24044,23764,24070,23304,23506,23666,23400,24434,24126,23672,23762,23736,24760,23458,24002,23668,23352,24002,23506,24062,24286,24254,24026,23272,23458,23880,23426,24070,24186,23698,25908,24450,23698,23408,24418,23528,24532,23778,23828,23698,23634,23336,24102,23276,24062,23854,23548,23620,24242
24144,23432,23854,23762,23650,23506,23458,23260,23368,23336,23784,23196,23538,23620,24144,23790,23272,23504,23668,23736,23554,23336,23656,23480,23704,23336,23208,23704,23336,24062,23506,23458,23408,23648,23336,23362,23624,23304,23698,23276,23890,23902,24072,23352,24002,23448,23336,23256,23564,23598
23544,23410,23448,23272,23600,23282,23276,23432,23336,23416,23592,24090,23256,23192,23352,23448,23336,23272,23276,23304,23988,23272,23352,23346,23892,23224,23458,23448,23736,23966,23352,23196,23346,23320,23352,23972,23298,23304,23356,23648,23448,23208,23336,23276,23304,23390,23504,23352,23432,23356
23192,23304,23256,23288,23256,23282,23272,23394,23356,23356,23272,23256,23260,23276,23288,23304,23208,23276,23362,23176,23352,23410,23272,23192,23972,23224,23304,23256,23416,23384,23346,23304,23304,23176,23192,23224,23196,23272,23448,23272,23202,23390,23288,23356,23208,23192,23244,23272,23580,23454
23224,23340,23192,23176,23276,23356,23256,23192,23288,23250,23224,23208,23260,23288,23176,23160,23304,23272,23260,23192,23272,23256,23304,23192,23320,23202,23112,23192,23240,23192,23224,23192,23176,23260,23144,23304,23368,23208,23288,23256,23304,23662,23208,23256,23276,23224,23256,23224,23244,23356
23208,23112,23224,23176,23256,23192,23256,23192,23192,23208,23208,23176,23208,23208,23192,23192,23176,23250,23224,23112,23192,23224,23192,23112,23112,23288,23256,23288,23192,23208,23272,23384,23192,23272,23384,23208,23260,23144,23192,23176,23192,23144,23288,23176,23240,23224,23128,23176,23192,23272
23224,23112,23208,23112,23112,23112,23192,23192,23192,23192,23294,23192,23376,23112,23144,23176,23272,23192,23192,23192,23192,23192,23112,23880,23192,23128,23256,23096,23984,23096,23192,23192,23096,23176,23112,23176,23112,23144,23128,23112,23176,23112,23208,23192,23272,23112,23192,23208,23208,23272
23112,23112,23192,23288,23112,23112,23112,23112,23192,23208,23192,23192,23096,23208,23096,23112,23176,23144,23112,23176,23112,23192,23112,23096,23112,23128,23112,23112,23112,23192,23176,23144,23192,23112,23096,23128,23064,23112,23112,23112,23112,23112,23208,23096,23112,23112,23176,23112,23192,23128
23112,23112,23112,23112,23096,23112,23160,23096,23096,23096,23112,23112,23128,23112,23128,23096,23096,23112,23128,23096,23128,23192,23096,23128,23096,23128,23096,23510,23096,23112,23096,23208,23096,23112,23096,23112,23392,23112,23112,23096,23112,23192,23064,23112,23112,23208,23128,23128,23112,23112
23096,23096,23128,23096,23096,23096,23096,23112,23112,23064,23096,23096,23096,23112,23112,23064,23128,23096,23096,23096,23112,23112,23096,23096,23112,23112,23112,23112,23112,23096,23096,23096,23112,23112,23128,23096,23112,23128,23128,23112,23112,23096,23112,23112,23096,23096,23112,23096,23112,23096
23096,23096,23112,23112,23112,23096,23096,23112,23064,23112,23096,23096,23096,23096,23096,23096,23096,23336,23112,23112,23096,23096,23096,23096,23096,23064,23112,23112,23096,23064,23096,23096,23112,23096,23096,23096,23112,23096,23112,23096,23096,23096,23096,23064,23096,23096,23096,23112,23112,23598
23096,23096,23096,23096,23096,23096,23096,23096,23112,23192,23096,23112,23096,23096,23096,23096,23096,23112,23112,23096,23064,23096,23096,30230,23096,23096,23096,23112,23096,23096,23096,23096,23096,23096,23080,23096,23064,23096,23064,23064,23096,23096,23096,23192,24740,23064,23096,23096,23064,23064
23096,23064,23064,23096,23064,23096,23064,23064,23112,23096,23096,23096,23064,23096,23112,23096,23096,23112,23112,23064,23096,23064,23096,23096,23096,23064,23096,23064,23256,23096,23064,23096,23096,23096,23096,23240,23064,23096,23112,23096,23112,23080,23096,23096,23080,23150,23064,23096,23096,23064
23064,23096,23096,23112,23096,23064,23288,23080,23688,23064,23064,23096,23064,23064,23064,23064,23240,23064,23064,23080,23096,23112,23112,23064,23064,23096,23220,23096,23112,23096,23064,23064,23064,23080,23096,23064,23064,23096,23064,23096,23096,23096,23064,23096,23064,23096,23064,23096,23064,23096
23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23080,23064,23064,23064,23064,23064,23064,23064,23064,23240,23096,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23064,23096,23064,23064,23096,23096
